Mixture	Mast Cells	Neutrophil Cells	Eosinophil Cells	B_cell_average	Plasma Cells	M0 Macrophage	M1 Macrophage	M2 Macrophage	Monocyte	NK_average	DC_average	Th_average	T_CD4_average	T_CD8_average	P-value	Correlation	RMSE
SAT_1	0.0172355580741398	0	0.000437902166469335	0.253028275972361	0.123637583332929	0.0389581308160257	0.0265902118835398	0.0227620485766776	0.133509386280696	0.0165588893004915	0.00314743151334038	0	0.201012277535856	0.163122304547474	0.012	0.264143620850161	0.974889989440778
SAT_12	0.0255289087784064	0	0.00202475783372526	0.205815417921073	0.197384492692627	0.00333451313662466	0.0263002609318192	0.0101809947795829	0.0994554380829341	0.0132212780482885	0.0111787203592081	0	0.227835951582058	0.177739265853653	0	0.569832447646531	0.831795540898918
SAT_13	0.0114094042026954	0	0.000423004212485803	0.32006578811806	0.0944362581421281	0	0.013502565694773	0.023943555845082	0.0932671698242061	0.017265155826614	0.00091543504434148	0	0.273718116168324	0.151053546921291	0	0.507580805724952	0.862905234307451
SAT_16	0.0120235362085789	0	0.00273570815312409	0.312160026154687	0.0978699684389601	0.000662600951631076	0.0234009215774539	0.030273972046139	0.0972373426239073	0.0143729521995239	0.000594831921959842	0	0.251245780316499	0.157422359407536	0	0.541953995412473	0.845716046330219
SAT_17	0.0170618369319056	0	0	0.224692437451223	0.0360724186982937	0.0633313073233299	0.037675500308615	0.0240941431458646	0.110539742656084	0	0	0	0.360970688783204	0.125561924701479	0	0.47257552568015	0.881919854908732
SAT_18	0.010884124869079	0	0	0.229091014820178	0.0369701471787547	0.0281355003855779	0.0292412529429737	0.0308202088826489	0.115336342645566	0.000455821617023036	0	0	0.360683598179724	0.158381988478475	0.00800000000000001	0.279081880038001	0.975433322537175
SAT_2	0.0159238967391546	0	0.00567328048774569	0.224226398538553	0.139176850873252	0	0.0283976987217856	0.1165090678475	0.123612052970849	0.0165355972834423	0	0	0.207580895552915	0.122364260984803	0	0.450540005613834	0.895248306567098
SAT_22	0.0134220464606409	0	0.000118574878115103	0.226658744227777	0.0188439432669339	0.00581062149571273	0.0152806222471331	0.0271584765202546	0.0858143127478744	0	0.0024419311483197	0	0.411134025182947	0.193316701824292	0	0.537906440157325	0.843349691454644
SAT_24	0.105123260632736	0	0.00126047887282204	0	0	0.178451265600148	0.0487059741383865	0.237989187790641	0.342371116487155	0	0	0	0.086098716478111	0	0.014	0.261517741577211	0.975198185276285
SAT_25	0.0134851073492882	0	0.00161553608034346	0.0468906783507459	0.485701487009786	0	0.0180772663433136	0.0256258225674908	0.0539740083458594	0	0.00981872218197397	0	0.21241181831067	0.132399553460529	0	0.709884102799616	0.712612524069686
SAT_27	0.0341420662679336	0	0	0.20706336944416	0.167662918033225	0	0.0134160067680819	0.0302222955669788	0.0649860163334873	0	0.00314296018027186	0	0.278356344688721	0.20100802271714	0	0.542601929138847	0.844026083375395
SAT_30	0.00934715847634954	0	0.000157978102997387	0.30875961158393	0.0330616690357848	0	0.0622101660402841	0.0326269964769183	0.0581766581127179	0	0	0	0.334080168547808	0.16157959362321	0	0.5610947564229	0.831816275566378
SAT_32	0.039606902225073	0	0.00124603148078415	0.164777227425371	0.0589303011822506	0	0.0293030281334384	0.0446546424725821	0.113278245934472	0	0	0	0.343008170118434	0.205195451027595	0	0.461915012095253	0.886400365710702
SAT_33	0.0281673583784391	0	0.00144492033496836	0.228161176997607	0.0156918724832049	0	0.0535026379774499	0.0155078476262088	0.165240495731503	0	0.00565013651309916	0	0.389034881123459	0.0975986728340596	0	0.473043347545699	0.881126760875917
SAT_34	0.0177210578009563	0	0.00216849952751215	0.130122318481764	0.0316675144604372	0.124184046487034	0.0308060505008831	0.138656984963453	0.158855334009296	0	0.0215991056037436	0	0.304762504574293	0.0394565835906272	0.938	-0.0274617450036279	1.06838226788972
SAT_38	0.0158830031535158	0	0.00201534333554415	0.265208423610707	0.0262689588414294	0.0298795827625366	0.0615551613902756	0.0705369800253118	0.169527749568802	0.00481832303398499	0.000769904360071936	0	0.260153802910484	0.0933827670073379	0.97	-0.0356102708692587	1.08677862576359
SAT_39	0.0234762866081606	0	0	0.108516378753096	0.0573439957346497	0	0.0290347846422416	0.186078136222727	0.156683430030119	0	0.0122445227275035	0	0.359183563882331	0.0674389013991702	0.196	0.0895549251829253	1.03648862902492
SAT_42	0.0295814338750065	0	0.000370175942292802	0.172799529113575	0.0231479156160123	0	0.0800494397368543	0.0322805824302957	0.230295487289686	0.000665458169677422	0.00475425132383081	0	0.387219257024816	0.0388364694779539	0	0.417363815856842	0.908394547602222
SAT_43	0.0301281477359132	0	0.00136803133431976	0.203476814192846	0.00887258359640838	0	0.0570138910584595	0.0450342545024241	0.137909723386485	0	0.00368692717090267	0	0.398491079794398	0.114018547227844	0	0.470784333073947	0.882120588616445
SAT_45	0.0136525756862101	0	0	0.220019222174123	0.0162870146120571	0.139886323508908	0.0433490233354503	0.0779583269244768	0.159215905806661	0	0	0	0.285694673097327	0.0439369348547873	0.702	-0.000609969995324407	1.065520736648
SAT_48	0.0414004831855637	0	0.00122816933058103	0.165328224796907	0	0	0.0460222855345625	0.0939187424140224	0.226090474426817	0	0.0068715378083864	0	0.329976061420838	0.0891640210823218	0	0.374161734739822	0.927182116007402
SAT_49	0.00445959033029538	0.00143806161873587	0	0.160946556329732	0.13553229191223	0	0.0319590616796514	0.00985321006949911	0.0359489071535748	0	0	0	0.424631806648823	0.195230514257458	0	0.614478257631241	0.7951727339533
SAT_50	0.0198891690260519	0	0.00170430507278649	0.147167783773211	0.141276615407175	0	0.011147780000557	0.0104337459079675	0.0372432984675908	0	0	0	0.434462940348828	0.196674361995833	0	0.589375864107484	0.810783859285577
SAT_53	0.00470912589119153	0	0.00121140813487131	0.176823697126206	0.181839650046943	0	0.0282004080855918	0.00345228682770652	0.0614414417797414	0	0	0	0.347365977586686	0.194956004521062	0	0.505802769388007	0.862524871289544
SAT_55	0.00816837928310098	0	0.000274165336272676	0.19933938169188	0.151118762828581	0	0.0169585517933265	0.0404695606875208	0.073527331888852	0	0	0	0.331312315904786	0.17883155058568	0	0.407078424015471	0.914913502976727
SAT_57	0.0205347970052843	0	0.00334740890631592	0.102797656157173	0.348035539271492	0.0143990713887719	0.0102258664545664	0	0.0395524264066281	0	0.00389594141075066	0	0.30690100661474	0.150310286384277	0	0.620590630658062	0.789348370273363
SAT_59	0.0182539889745155	0	0.00135193634651947	0.21932094173673	0.0224116282189854	0	0.0207694718260213	0.00812681368613947	0.0500674902574936	0	0.00362559233866575	0	0.436512348138298	0.219559788476632	0	0.571067637394353	0.821231791862733
SAT_63	0.00908784914218743	0	0.000474282167682781	0.306750585108218	0.0461116810212116	0	0.0370684057206513	0.0195840858815968	0.0607083567915672	0.00395992692745211	0.000654317939962019	0	0.374520389507954	0.141080119791517	0	0.568199699097008	0.826665499079683
SAT_64	0.00919722433400495	0	0.00500734103159944	0.149806247970719	0.190776572794187	0.0486438554461973	0.026033932752146	0.0133628752947915	0.0607913743912304	0.000392729384013536	0	0	0.365359083243866	0.130628763357245	0.674	0.00313144736614483	1.0979486486718
SAT_7	0.0263745549389996	0	0.00281887448963356	0.0902904910743129	0.491599392101188	0	0.012536104246055	0.0414850853534263	0.0596833590094384	0.00654219519012608	0.0175291200993796	0	0.117740614494442	0.133400209002998	0	0.545084551596537	0.841338930130947
SAT_8	0.0133161528107233	0	0.000374704132234575	0.260498676441051	0.117114819423355	0	0.0226761227590794	0.112503918219264	0.155013894643135	0.0128784875421709	0	0	0.219575670030809	0.0860475539981771	0	0.507143271899803	0.870615205274081
SAT_9	0.016027723509333	0	0.000587475187510705	0.261596098722031	0.197370820237257	0	0.0303974024592105	0.0361313843540743	0.110338926853054	0.0197466177947182	0.00492157486314045	0	0.198646661443302	0.124235314576369	0	0.555022295105553	0.841184874765459
